Year,Total,Male,Female
1970,124104,61377,62727
1971,120905,59273,61632
1972,120064,58399,61665
1973,120306,58148,62158
1974,120893,58119,62774
1975,119699,57166,62533
1976,119647,56894,62753
1977,120838,57191,63647
1978,122408,57714,64694
1979,124238,58283,65955
1980,124292,58060,66232
1981,124703,58036,66667
1982,126478,58659,67819
1983,128223,59250,68973
1984,130143,59979,70164
1985,130718,60067,70651
1986,132221,60502,71719
1987,133669,61018,72651
1988,135645,61802,73843
1989,137927,62636,75291
1990,139577,63239,76338
1991,141753,64032,77721
1992,144409,65137,79272
1993,147503,66553,80950
1994,150656,67820,82836
1995,153098,68778,84320
1996,155977,70028,85949
1997,159169,71384,87785
1998,162512,72738,89774
1999,166048,74267,91781
2000,168958,75454,93504
2001,172140,76833,95307
2002,175633,78243,97390
2003,179220,79902,99318
2004,182863,81388,101475
2005,186239,82905,103334
2006,189465,84184,105281
2007,193036,85688,107348
2008,196739,87213,109526
2009,200461,88748,111713
2010,203410,90020,113390
2011,206819,91474,115345
2012,210483,93012,117471
2013,214106,94502,119604
2014,217621,95949,121672
2015,221061,97466,123595
2016,224543,98971,125572
2017,227901,100425,127476
2018,231222,101951,129271
2019,234633,103369,131264
2020,238040,104985,133055
2021,241320,106465,134855
